epoch,lock_timestamp,lock_price,close_price,winner,bull_payout,bear_payout,price_change_pct,cooldown_start
428934,1762803164,0,98387365700,bear,2.3120,1.7622,Infinity,428930
428935,1762803470,0,98728250400,bull,1.1277,8.8337,Infinity,428930
428936,1762803776,98728250400,98882790152,bull,1.9395,2.0645,0.1565,428930
428937,1762804082,98882790152,98865652124,bear,2.5422,1.6484,-0.0173,428930
429233,1762894712,0,95869881228,bear,1.1770,6.6483,Infinity,429233
429234,1762895018,0,95839656416,bear,1.5956,2.6789,Infinity,429233
429235,1762895324,0,96118805076,bull,2.0686,1.9358,Infinity,429233
429236,1762895630,0,96066147891,bear,5.8467,1.2063,Infinity,429233
429237,1762895937,96066147891,96231832150,bull,1.4104,3.4368,0.1725,429233
429238,1762896242,96231832150,96125742323,bear,47.9892,1.0213,-0.1102,429233
429239,1762896548,0,95922612000,bear,3.2832,1.4380,Infinity,429233
429240,1762896854,0,95913591434,bear,2.2958,1.7717,Infinity,429233
429265,1762904510,0,96037787999,bear,1.3812,3.6231,Infinity,429265
429266,1762904816,0,95717165560,bear,1.4955,3.0181,Infinity,429265
429267,1762905122,0,95847275390,bull,5.0311,1.2481,Infinity,429265
429268,1762905428,95847275390,95900962570,bull,13.7880,1.0782,0.0560,429265
429269,1762905734,95900962570,96053764000,bull,52.6090,1.0194,0.1593,429265
429270,1762906040,96053764000,95640520350,bear,2.6953,1.5899,-0.4302,429265
429271,1762906346,0,95883970000,bull,2.9933,1.5017,Infinity,429265
429272,1762906652,95883970000,96156999225,bull,1.1795,6.5700,0.2847,429265
430934,1763415566,89929060372,90020618663,bull,1.3036,4.2934,0.1018,430934
430935,1763415872,90020618663,89784303727,bear,2.6512,1.6056,-0.2625,430934
430936,1763416178,89784303727,90045472000,bull,1.0388,26.7958,0.2909,430934
430937,1763416484,90045472000,90129810012,bull,1.0487,21.5177,0.0937,430934
430938,1763416790,90129810012,90052382323,bear,1.2198,5.5498,-0.0859,430934
430939,1763417096,0,90234572181,bull,1.0916,11.9141,Infinity,430934
430940,1763417402,90234572181,90357519000,bull,2.3003,1.7691,0.1363,430934
430941,1763417708,90357519000,90389847008,bull,1.1145,9.7367,0.0358,430934
430951,1763420768,90560745971,90431188766,bear,1.6843,2.4613,-0.1431,430951
430952,1763421074,90431188766,90461705910,bull,1.4381,3.2828,0.0337,430951
430953,1763421380,90461705910,90436259739,bear,1.0426,24.4627,-0.0281,430951
430954,1763421686,90436259739,90436982962,bull,1.3394,3.9463,0.0008,430951
430955,1763421992,90436982962,90293449268,bear,1.3256,4.0717,-0.1587,430951
430956,1763422298,90293449268,90580200000,bull,1.2467,5.0540,0.3176,430951
430957,1763422604,90580200000,90473667606,bear,1.5042,2.9833,-0.1176,430951
430958,1763422910,0,90555660808,bull,1.0930,11.7530,Infinity,430951
431113,1763470359,91604078046,91470400000,bear,5.7156,1.2121,-0.1459,431113
431114,1763470665,91470400000,91622641000,bull,1.2659,4.7609,0.1664,431113
431115,1763470971,91622641000,91469839146,bear,7.5286,1.1532,-0.1668,431113
431116,1763471276,91469839146,91605435425,bull,4.8065,1.2627,0.1482,431113
431117,1763471582,0,91568736907,bear,2.2644,1.7909,Infinity,431113
431118,1763471888,91568736907,91387657765,bear,1.6367,2.5706,-0.1978,431113
431119,1763472194,91387657765,91416260000,bull,5.1698,1.2398,0.0313,431113
431120,1763472500,0,91373060016,bear,1.4444,3.2503,Infinity,431113
431163,1763485676,93525986209,93555842603,bull,3.2874,1.4372,0.0319,431163
431164,1763485982,0,93439254311,bear,1.8014,2.2479,Infinity,431163
431165,1763486288,0,93412900000,bear,1.2806,4.5635,Infinity,431163
431166,1763486594,93412900000,93038971000,bear,1.6803,2.4699,-0.4003,431163
431167,1763486900,93038971000,93054082995,bull,1.9815,2.0189,0.0162,431163
431168,1763487206,0,93228800000,bull,1.2825,4.5404,Infinity,431163
431169,1763487512,0,93347644424,bull,2.3601,1.7353,Infinity,431163
431170,1763487818,93347644424,93389530812,bull,1.7083,2.4118,0.0449,431163
431224,1763504354,0,93347308941,bull,1.5598,2.7864,Infinity,431224
431225,1763504660,0,93431705310,bull,4.9477,1.2533,Infinity,431224
431226,1763504966,93431705310,93481673503,bull,2.2873,1.7768,0.0535,431224
431227,1763505272,0,93371249884,bear,2.1830,1.8453,Infinity,431224
431228,1763505578,0,93398446620,bull,8.7219,1.1295,Infinity,431224
431229,1763505884,0,93305188450,bear,5.2600,1.2347,Infinity,431224
431230,1763506191,93305188450,93389528005,bull,5.5676,1.2189,0.0904,431224
431231,1763506496,93389528005,93372763229,bear,2.8767,1.5329,-0.0180,431224
434819,1764605163,81082537879,81059559653,bear,2.0790,1.9268,-0.0283,434819
434820,1764605469,81059559653,80950000000,bear,1.7347,2.3612,-0.1352,434819
434821,1764605775,0,80935993000,bear,1.2717,4.6802,Infinity,434819
434822,1764606081,0,81014200000,bull,8.0426,1.1420,Infinity,434819
434823,1764606387,81014200000,81182772623,bull,1.5555,2.8002,0.2081,434819
434824,1764606693,0,81011892144,bear,1.1899,6.2669,Infinity,434819
434825,1764606999,81011892144,81456964722,bull,4.3150,1.3017,0.5494,434819
434826,1764607305,81456964722,81327160652,bear,2.4822,1.6747,-0.1594,434819
434831,1764608834,0,81442214000,bear,2.2390,1.8071,Infinity,434831
434832,1764609140,81442214000,81264943000,bear,1.5847,2.7104,-0.2177,434831
